"Timestamp","1. What is your age group? ","2. What is your gender? ","3. What is your highest level of education? ","4. What is your current field of occupation or education? ","5. How do you identify your ethnicity? ","6. Are you still attending college?","7. What is your state of residence? Please enter the full name of your state (e.g., 'California' instead of 'CA')","7. Do you think having a general understanding of Intellectual Property (IP) law is necessary for people who don’t work in law or technical fields? ","8. To what extent do you think you know about Intellectual Property (IP) law? ","9. Which of the following best describes a copyright?  (Select one) ","10. Which of the following best describes a (utility) patent?  (select one) ","11. Which of the following best describes a trademark? (Select one) ","12. Which of the following is the main purpose of intellectual property protections? (Select one) ","13. If you download a song from the internet without paying for it, do you think this is: ","14. If you invent a new type of motor engine, which type of IP protection would you seek? ","15. If you write a novel and want to protect your rights, which type of IP protection would you seek? ","16. If you create a new logo for your company, which type of IP protection would you seek? ","17. Select the statements that you think are ACCURATE under U.S. INTELLECTUAL PROPERTY (IP) LAW: 
(Select all that apply) ","19. Which form of IP protection did you apply for? 
(Please skip this section if you have never applied IP protection before)","20. Did you apply for the IP protection through a third party (e.g., law firm)? 
(Please skip this section if you have never applied IP protection before)","21. How would you describe the difficulty of the process of applying for IP protection (whether you applied yourself or used a third party)? 
(Please skip this section if you have never applied IP protection before)","22. Do you think the process of applying for IP protection would have been easier if you had done it differently (e.g., hiring a third party or filing it yourself)? ","23. If you had something that required IP protection again, which factors would most affect your decision to apply yourself or hire a third party? 
(Select all that apply) ","19. If you were to apply for IP protection, would you do it yourself or hire a third party? ","20. If you had something that required IP protection, which factors would most affect your decision to apply yourself or hire a third party? 
(Select all that apply) ","21. How confident are you in your ability to understand the IP application process (even if you haven’t applied before)?"
"2024/10/18 6:20:15 PM MDT","25-34","Male","Some college, no degree","Trades","White","Other","Yes","Yes, it is important","A little","A protection for an invention or a new process","A protection for company slogans and logos","I have no idea","To allow creators and inventors to profit from their work","It depends...","Patent","Copyright","Trademark","You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself","Not very confident"
"2024/10/18 6:22:36 PM MDT","35-44","Male","Master’s degree","Business","White","Democrat","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Somewhat confident"
"2024/10/18 6:27:48 PM MDT","25-34","Male","Master’s degree","Business","Mixed Race","Independent","Yes","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A protection for company slogans and logos","A protection for an invention or process","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Copyright","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","None","","","","","I would consult with both options before deciding","I’m not sure","Not very confident"
"2024/10/19 9:17:43 AM MDT","25-34","Male","Bachelor’s degree (4-year college degree)","Pastor","White","Other","Yes","I have no idea","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","","",""
"2024/10/19 9:36:35 AM MDT","25-34","Male","Bachelor’s degree (4-year college degree)","IT","Asian","Other","No","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To allow creators and inventors to profit from their work","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself;Desire to avoid legal risks","Not confident at all"
"2024/10/19 11:36:22 PM MDT","25-34","Male","Master’s degree","Retail","Mixed Race","Democrat","Yes","Yes, it is important","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Legal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;Content available on the internet can be freely used if no copyright notice is visible;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I’m not sure","I’m not sure","Neutral"
"2024/10/20 2:46:44 PM MDT","25-34","Male","Master’s degree","Government","White","Prefer not to answer","Yes","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","It depends...","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself","Very confident"
"2024/10/20 9:57:26 PM MDT","25-34","Male","Master’s degree","Technology","White","Democrat","No","Perhaps important to some extent, but not much","A little","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;General ideas or concepts can be patented, even if they haven't been developed into an actual invention;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would do it myself","Cost of hiring a third party;Complexity of the legal procedure;Desire to avoid legal risks","Somewhat confident"
"2024/10/21 3:59:06 PM MDT","25-34","Male","Bachelor’s degree (4-year college degree)","Engineering","White","Republican","Yes","Yes, it is important","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created;You can even trademark a color, sound, or smell.;You can lose trademark protection if your trademark becomes generic (“Generic” means that the public starts using your brand name as the general word for a type of product, like ""Aspirin"" or ""Escalator."")","","","","","","I would hire a third party","Cost of hiring a third party;Complexity of the legal procedure;Time required to handle the process yourself","Neutral"
"2024/10/22 12:44:57 PM MDT","18-24","Male","High school graduate or GED","Law","Hispanic or Latino","Prefer not to answer","Yes","Perhaps important to some extent, but not much","Moderately","A legal right granted to an author or creator of original work","A legal right given to an inventor to prevent others from making, using, or selling their invention","A symbol, word, or design that identifies a company or product","To protect the rights of creators, inventors, and businesses","Illegal","Patent","Copyright","Trademark","IP protection is global;The TM symbol (™) identifies that a trademark has been registered;You automatically own the copyright to your work as soon as it is created;Content available on the internet can be freely used if no copyright notice is visible;General ideas or concepts can be patented, even if they haven't been developed into an actual invention","Trademark","No, I applied myself","Neutral (neither easy nor difficult)","No, the process was fine as it was","Time required to handle the process myself;Desire to avoid legal risks or mistakes","I would consult with both options before deciding","Cost of hiring a third party;Complexity of the legal procedure;Desire to avoid legal risks","Somewhat confident"
